년도,지역,준공수
2010,강원,5683
2010,경기,59029
2010,경남,10719
2010,경북,12066
2010,광주,4935
2010,대구,7570
2010,대전,10553
2010,부산,6217
2010,서울,23184
2010,세종,0
2010,울산,4978
2010,인천,18905
2010,전국,195970
2010,전남,5273
2010,전북,7926
2010,제주,2920
2010,충남,8040
2010,충북,7972
2011,강원,6242
2011,경기,92529
2011,경남,17423
2011,경북,14552
2011,광주,9096
2011,대구,10569
2011,대전,14960
2011,부산,24659
2011,서울,65093
2011,세종,0
2011,울산,4960
2011,인천,29662
2011,전국,338813
2011,전남,9583
2011,전북,10040
2011,제주,4357
2011,충남,16396
2011,충북,8692
2012,강원,8881
2012,경기,103970
2012,경남,17512
2012,경북,12625
2012,광주,6813
2012,대구,5613
2012,대전,8143
2012,부산,32506
2012,서울,65115
2012,세종,2319
2012,울산,7523
2012,인천,30176
2012,전국,365053
2012,전남,11756
2012,전북,14219
2012,제주,7022
2012,충남,21783
2012,충북,9077
2013,강원,8567
2013,경기,98621
2013,경남,31414
2013,경북,20672
2013,광주,11933
2013,대구,13837
2013,대전,7425
2013,부산,34646
2013,서울,67898
2013,세종,5071
2013,울산,10789
2013,인천,10761
2013,전국,395519
2013,전남,19367
2013,전북,12733
2013,제주,10760
2013,충남,17988
2013,충북,13037
2014,강원,13971
2014,경기,95955
2014,경남,31933
2014,경북,19496
2014,광주,14426
2014,대구,12515
2014,대전,13392
2014,부산,30484
2014,서울,74818
2014,세종,18576
2014,울산,12094
2014,인천,15478
2014,전국,431339
2014,전남,17008
2014,전북,16356
2014,제주,6000
2014,충남,19533
2014,충북,19304
2015,강원,13828
2015,경기,122287
2015,경남,34269
2015,경북,31102
2015,광주,8584
2015,대구,21381
2015,대전,7441
2015,부산,24988
2015,서울,64762
2015,세종,18589
2015,울산,12694
2015,인천,16670
2015,전국,460153
2015,전남,19056
2015,전북,15536
2015,제주,10229
2015,충남,22534
2015,충북,16203
2016,강원,13038
2016,경기,156296
2016,경남,29740
2016,경북,30463
2016,광주,13282
2016,대구,31187
2016,대전,8268
2016,부산,19299
2016,서울,86937
2016,세종,8804
2016,울산,6968
2016,인천,15267
2016,전국,514775
2016,전남,18003
2016,전북,12619
2016,제주,13879
2016,충남,33846
2016,충북,16879
2017,강원,13441
2017,경기,191052
2017,경남,46380
2017,경북,31460
2017,광주,13596
2017,대구,21301
2017,대전,9363
2017,부산,27488
2017,서울,70784
2017,세종,17374
2017,울산,11536
2017,인천,19686
2017,전국,569209
2017,전남,15212
2017,전북,11683
2017,제주,16151
2017,충남,33896
2017,충북,18806
2018,강원,24777
2018,경기,240234
2018,경남,39913
2018,경북,31303
2018,광주,10466
2018,대구,20108
2018,대전,9216
2018,부산,31063
2018,서울,80292
2018,세종,16289
2018,울산,9969
2018,인천,20371
2018,전국,636494
2018,전남,12167
2018,전북,18070
2018,제주,12288
2018,충남,28390
2018,충북,31578
2019,강원,22982
2019,경기,175894
2019,경남,47201
2019,경북,25250
2019,광주,16263
2019,대구,10650
2019,대전,6809
2019,부산,30476
2019,서울,75373
2019,세종,11233
2019,울산,13051
2019,인천,13679
2019,전국,518084
2019,전남,13740
2019,전북,16933
2019,제주,7324
2019,충남,14981
2019,충북,16245
2020,강원,18023
2020,경기,157305
2020,경남,24783
2020,경북,17689
2020,광주,16684
2020,대구,18459
2020,대전,9662
2020,부산,26979
2020,서울,81406
2020,세종,4672
2020,울산,3472
2020,인천,11429
2020,전국,471079
2020,전남,19145
2020,전북,17105
2020,제주,5678
2020,충남,18412
2020,충북,20176
2021,강원,9134
2021,경기,89055
2021,경남,8246
2021,경북,9409
2021,광주,6463
2021,대구,6334
2021,대전,907
2021,부산,13742
2021,서울,47475
2021,세종,2964
2021,울산,1438
2021,인천,12568
2021,전국,243545
2021,전남,9119
2021,전북,6004
2021,제주,2580
2021,충남,10475
2021,충북,7632
