년도,지역,신규분양수
2016,강원,17738
2016,경기,117476
2016,경남,51689
2016,경북,14372
2016,광주,8417
2016,대구,6893
2016,대전,2339
2016,부산,13876
2016,서울,16260
2016,세종,9167
2016,울산,7637
2016,인천,11595
2016,전남,6297
2016,전북,11192
2016,제주,2375
2016,충남,8160
2016,충북,8117
2017,강원,12088
2017,경기,54018
2017,경남,14155
2017,경북,4503
2017,광주,7831
2017,대구,2925
2017,대전,3139
2017,부산,14517
2017,서울,17269
2017,세종,3757
2017,울산,2330
2017,인천,11316
2017,전남,6102
2017,전북,7755
2017,제주,1590
2017,충남,7362
2017,충북,10993
2018,강원,8770
2018,경기,56553
2018,경남,4703
2018,경북,8401
2018,광주,3009
2018,대구,16013
2018,대전,2538
2018,부산,12099
2018,서울,8854
2018,세종,4399
2018,울산,0
2018,인천,13047
2018,전남,3935
2018,전북,4687
2018,제주,840
2018,충남,3457
2018,충북,6179
2019,강원,7214
2019,경기,43768
2019,경남,3549
2019,경북,1385
2019,광주,8600
2019,대구,19283
2019,대전,7374
2019,부산,12284
2019,서울,13333
2019,세종,465
2019,울산,965
2019,인천,28996
2019,전남,7900
2019,전북,5909
2019,제주,786
2019,충남,7352
2019,충북,3496
2020,강원,5141
2020,경기,74468
2020,경남,7683
2020,경북,9413
2020,광주,5189
2020,대구,22599
2020,대전,5049
2020,부산,10468
2020,서울,15161
2020,세종,585
2020,울산,5534
2020,인천,23363
2020,전남,7539
2020,전북,5885
2020,제주,378
2020,충남,18659
2020,충북,8972
2021,강원,9380
2021,경기,58599
2021,경남,22556
2021,경북,23195
2021,광주,2365
2021,대구,18936
2021,대전,3664
2021,부산,5292
2021,서울,3176
2021,세종,3360
2021,울산,3412
2021,인천,17073
2021,전남,7793
2021,전북,8902
2021,제주,665
2021,충남,21295
2021,충북,8854
2022,강원,7277
2022,경기,50594
2022,경남,14133
2022,경북,12449
2022,광주,726
2022,대구,8612
2022,대전,9649
2022,부산,1487
2022,서울,8723
2022,세종,190
2022,울산,4337
2022,인천,12569
2022,전남,8425
2022,전북,6778
2022,제주,2568
2022,충남,16215
2022,충북,14741
2023,강원,7551
2023,경기,33720
2023,경남,1413
2023,경북,2269
2023,광주,5252
2023,대구,0
2023,대전,2512
2023,부산,12652
2023,서울,7620
2023,세종,0
2023,울산,2491
2023,인천,10967
2023,전남,3437
2023,전북,2688
2023,제주,525
2023,충남,6554
2023,충북,6751
