년도,지역,미분양수
2013,강원,3055
2013,경기,24760
2013,경남,4909
2013,경북,1405
2013,광주,323
2013,대구,1234
2013,대전,1146
2013,부산,4259
2013,서울,3157
2013,세종,54
2013,수도권,33192
2013,울산,3310
2013,인천,5275
2013,전국,61091
2013,전남,1981
2013,전북,1470
2013,제주,588
2013,지방,27899
2013,충남,3566
2013,충북,599
2014,강원,3054
2014,경기,14723
2014,경남,2962
2014,경북,2023
2014,광주,247
2014,대구,1013
2014,대전,444
2014,부산,2060
2014,서울,1356
2014,세종,433
2014,수도권,19814
2014,울산,258
2014,인천,3735
2014,전국,40379
2014,전남,2981
2014,전북,1197
2014,제주,124
2014,지방,20565
2014,충남,2838
2014,충북,931
2015,강원,1876
2015,경기,25937
2015,경남,3411
2015,경북,3802
2015,광주,735
2015,대구,2396
2015,대전,1243
2015,부산,1290
2015,서울,494
2015,세종,16
2015,수도권,30637
2015,울산,437
2015,인천,4206
2015,전국,61512
2015,전남,1608
2015,전북,1227
2015,제주,114
2015,지방,30875
2015,충남,9065
2015,충북,3655
2016,강원,3314
2016,경기,13362
2016,경남,8014
2016,경북,7421
2016,광주,554
2016,대구,915
2016,대전,644
2016,부산,1171
2016,서울,274
2016,세종,0
2016,수도권,16689
2016,울산,481
2016,인천,3053
2016,전국,56413
2016,전남,1245
2016,전북,2382
2016,제주,271
2016,지방,39724
2016,충남,9323
2016,충북,3989
2017,강원,2816
2017,경기,8793
2017,경남,12088
2017,경북,7630
2017,광주,707
2017,대구,126
2017,대전,759
2017,부산,1920
2017,서울,45
2017,세종,0
2017,수도권,10387
2017,울산,855
2017,인천,1549
2017,전국,57330
2017,전남,627
2017,전북,1881
2017,제주,1271
2017,지방,46943
2017,충남,11283
2017,충북,4980
2018,강원,5736
2018,경기,4968
2018,경남,14147
2018,경북,8995
2018,광주,58
2018,대구,362
2018,대전,1183
2018,부산,4153
2018,서울,27
2018,세종,0
2018,수도권,6319
2018,울산,997
2018,인천,1324
2018,전국,58838
2018,전남,1663
2018,전북,1607
2018,제주,1295
2018,지방,52519
2018,충남,7763
2018,충북,4560
2019,강원,5945
2019,경기,5085
2019,경남,12269
2019,경북,6122
2019,광주,148
2019,대구,1790
2019,대전,724
2019,부산,2115
2019,서울,151
2019,세종,0
2019,수도권,6202
2019,울산,1269
2019,인천,966
2019,전국,47797
2019,전남,1857
2019,전북,1043
2019,제주,1072
2019,지방,41595
2019,충남,5569
2019,충북,1672
2020,강원,3115
2020,경기,1616
2020,경남,3617
2020,경북,2154
2020,광주,31
2020,대구,280
2020,대전,638
2020,부산,973
2020,서울,49
2020,세종,0
2020,수도권,2131
2020,울산,468
2020,인천,466
2020,전국,19005
2020,전남,1059
2020,전북,661
2020,제주,1095
2020,지방,16874
2020,충남,2510
2020,충북,273
2021,강원,1648
2021,경기,1030
2021,경남,1879
2021,경북,4386
2021,광주,27
2021,대구,1977
2021,대전,460
2021,부산,949
2021,서울,54
2021,세종,30
2021,수도권,1509
2021,울산,397
2021,인천,425
2021,전국,17710
2021,전남,2163
2021,전북,133
2021,제주,836
2021,지방,16201
2021,충남,1012
2021,충북,304
2022,강원,2648
2022,경기,7588
2022,경남,4600
2022,경북,7674
2022,광주,291
2022,대구,13445
2022,대전,3239
2022,부산,2640
2022,서울,953
2022,세종,6
2022,수도권,11035
2022,울산,3570
2022,인천,2494
2022,전국,68107
2022,전남,3029
2022,전북,2520
2022,제주,1676
2022,지방,57072
2022,충남,8509
2022,충북,3225
