local,number,year
전국,44503200,1992
전국,45001113,1993
전국,45416339,1994
전국,45858029,1995
전국,46266256,1996
전국,46684069,1997
전국,46991171,1998
전국,47335678,1999
전국,47732558,2000
전국,48021543,2001
전국,48229948,2002
전국,48386823,2003
전국,48583805,2004
전국,48782274,2005
전국,48991779,2006
전국,49268928,2007
전국,49540367,2008
전국,49773145,2009
전국,50515666,2010
전국,50734284,2011
전국,50948272,2012
전국,51141463,2013
전국,51327916,2014
전국,51529338,2015
전국,51696216,2016
전국,51778544,2017
전국,51826059,2018
전국,51849861,2019
전국,51829023,2020
전국,51638809,2021
전국,51439038,2022
전국,51325329,2023
서울,10935230,1992
서울,10889499,1993
서울,10759454,1994
서울,10550871,1995
서울,10418076,1996
서울,10336134,1997
서울,10270506,1998
서울,10264260,1999
서울,10311314,2000
서울,10263336,2001
서울,10207295,2002
서울,10174086,2003
서울,10173162,2004
서울,10167344,2005
서울,10181166,2006
서울,10192710,2007
서울,10200827,2008
서울,10208302,2009
서울,10312545,2010
서울,10249679,2011
서울,10195318,2012
서울,10143645,2013
서울,10103233,2014
서울,10022181,2015
서울,9930616,2016
서울,9857426,2017
서울,9765623,2018
서울,9729107,2019
서울,9668465,2020
서울,9509458,2021
서울,9428372,2022
서울,9386034,2023
부산,3882389,1992
부산,3862806,1993
부산,3839812,1994
부산,3883880,1995
부산,3867125,1996
부산,3851312,1997
부산,3829098,1998
부산,3817270,1999
부산,3796506,2000
부산,3770536,2001
부산,3730125,2002
부산,3691445,2003
부산,3666345,2004
부산,3638293,2005
부산,3611992,2006
부산,3587439,2007
부산,3564577,2008
부산,3543030,2009
부산,3567910,2010
부산,3550963,2011
부산,3538484,2012
부산,3527635,2013
부산,3519401,2014
부산,3513777,2015
부산,3498529,2016
부산,3470653,2017
부산,3441453,2018
부산,3413841,2019
부산,3391946,2020
부산,3350380,2021
부산,3317812,2022
부산,3293362,2023
대구,2284191,1992
대구,2312166,1993
대구,2342680,1994
대구,2478589,1995
대구,2480345,1996
대구,2488346,1997
대구,2493440,1998
대구,2505710,1999
대구,2524253,2000
대구,2525109,2001
대구,2525803,2002
대구,2529544,2003
대구,2524712,2004
대구,2511306,2005
대구,2496115,2006
대구,2493261,2007
대구,2492724,2008
대구,2489781,2009
대구,2511676,2010
대구,2507271,2011
대구,2505644,2012
대구,2501588,2013
대구,2493264,2014
대구,2487829,2015
대구,2484557,2016
대구,2475231,2017
대구,2461769,2018
대구,2438031,2019
대구,2418346,2020
대구,2385412,2021
대구,2363691,2022
대구,2374960,2023
인천,2065866,1992
인천,2138426,1993
인천,2200769,1994
인천,2353073,1995
인천,2391824,1996
인천,2445613,1997
인천,2485199,1998
인천,2509086,1999
인천,2545769,2000
인천,2564598,2001
인천,2577989,2002
인천,2570194,2003
인천,2578817,2004
인천,2600495,2005
인천,2624391,2006
인천,2664576,2007
인천,2692696,2008
인천,2710579,2009
인천,2758296,2010
인천,2801274,2011
인천,2843981,2012
인천,2879782,2013
인천,2902608,2014
인천,2925815,2015
인천,2943069,2016
인천,2948542,2017
인천,2954642,2018
인천,2957026,2019
인천,2942828,2020
인천,2948375,2021
인천,2967314,2022
인천,2997410,2023
광주,1223784,1992
광주,1248670,1993
광주,1272515,1994
광주,1285633,1995
광주,1300195,1996
광주,1323863,1997
광주,1339441,1998
광주,1356612,1999
광주,1371909,2000
광주,1383765,2001
광주,1397452,2002
광주,1395762,2003
광주,1401172,2004
광주,1401745,2005
광주,1407798,2006
광주,1413444,2007
광주,1422702,2008
광주,1433640,2009
광주,1454636,2010
광주,1463464,2011
광주,1469216,2012
광주,1472910,2013
광주,1475884,2014
광주,1472199,2015
광주,1469214,2016
광주,1463770,2017
광주,1459336,2018
광주,1456468,2019
광주,1450062,2020
광주,1441611,2021
광주,1431050,2022
광주,1419237,2023
대전,1134843,1992
대전,1189039,1993
대전,1232823,1994
대전,1265081,1995
대전,1293760,1996
대전,1318212,1997
대전,1341413,1998
대전,1363546,1999
대전,1385606,2000
대전,1403164,2001
대전,1419573,2002
대전,1432296,2003
대전,1443471,2004
대전,1454638,2005
대전,1466158,2006
대전,1475659,2007
대전,1480895,2008
대전,1484180,2009
대전,1503664,2010
대전,1515603,2011
대전,1524583,2012
대전,1532811,2013
대전,1531809,2014
대전,1518775,2015
대전,1514370,2016
대전,1502227,2017
대전,1489936,2018
대전,1474870,2019
대전,1463882,2020
대전,1452251,2021
대전,1446072,2022
대전,1442216,2023
울산,0,1992
울산,0,1993
울산,0,1994
울산,0,1995
울산,0,1996
울산,1009652,1997
울산,1015249,1998
울산,1024336,1999
울산,1040225,2000
울산,1055618,2001
울산,1065037,2002
울산,1072867,2003
울산,1081453,2004
울산,1087648,2005
울산,1092494,2006
울산,1099995,2007
울산,1112407,2008
울산,1114866,2009
울산,1126298,2010
울산,1135494,2011
울산,1147256,2012
울산,1156480,2013
울산,1166377,2014
울산,1173534,2015
울산,1172304,2016
울산,1165132,2017
울산,1155623,2018
울산,1148019,2019
울산,1136017,2020
울산,1121592,2021
울산,1110663,2022
울산,1103661,2023
세종,0,1992
세종,0,1993
세종,0,1994
세종,0,1995
세종,0,1996
세종,0,1997
세종,0,1998
세종,0,1999
세종,0,2000
세종,0,2001
세종,0,2002
세종,0,2003
세종,0,2004
세종,0,2005
세종,0,2006
세종,0,2007
세종,0,2008
세종,0,2009
세종,0,2010
세종,0,2011
세종,113117,2012
세종,122153,2013
세종,156125,2014
세종,210884,2015
세종,243048,2016
세종,280100,2017
세종,314126,2018
세종,340575,2019
세종,355831,2020
세종,371895,2021
세종,383591,2022
세종,386525,2023
경기,6613094,1992
경기,7005232,1993
경기,7421823,1994
경기,7789424,1995
경기,8155794,1996
경기,8470594,1997
경기,8672632,1998
경기,8934332,1999
경기,9219343,2000
경기,9544496,2001
경기,9927473,2002
경기,10206851,2003
경기,10462920,2004
경기,10697215,2005
경기,10906033,2006
경기,11106211,2007
경기,11292264,2008
경기,11460610,2009
경기,11786622,2010
경기,11937415,2011
경기,12093299,2012
경기,12234630,2013
경기,12357830,2014
경기,12522606,2015
경기,12716780,2016
경기,12873895,2017
경기,13077153,2018
경기,13239666,2019
경기,13427014,2020
경기,13565450,2021
경기,13589432,2022
경기,13630821,2023
강원,1554106,1992
강원,1539801,1993
강원,1529304,1994
강원,1528488,1995
강원,1528671,1996
강원,1537106,1997
강원,1552667,1998
강원,1556979,1999
강원,1554688,2000
강원,1552407,2001
강원,1538720,2002
강원,1527034,2003
강원,1521375,2004
강원,1513110,2005
강원,1505420,2006
강원,1503806,2007
강원,1508575,2008
강원,1512870,2009
강원,1529818,2010
강원,1536448,2011
강원,1538630,2012
강원,1542263,2013
강원,1544442,2014
강원,1549507,2015
강원,1550806,2016
강원,1550142,2017
강원,1543052,2018
강원,1541502,2019
강원,1542840,2020
강원,1538492,2021
강원,1536498,2022
강원,0,2023
충북,1403633,1992
충북,1418403,1993
충북,1425295,1994
충북,1439346,1995
충북,1454524,1996
충북,1470776,1997
충북,1484466,1998
충북,1492077,1999
충북,1497513,2000
충북,1496520,2001
충북,1492713,2002
충북,1489635,2003
충북,1488945,2004
충북,1488803,2005
충북,1494559,2006
충북,1506608,2007
충북,1519587,2008
충북,1527478,2009
충북,1549528,2010
충북,1562903,2011
충북,1565628,2012
충북,1572732,2013
충북,1578933,2014
충북,1583952,2015
충북,1591625,2016
충북,1594432,2017
충북,1599252,2018
충북,1600007,2019
충북,1600837,2020
충북,1597427,2021
충북,1595058,2022
충북,1593469,2023
충남,1870723,1992
충남,1856333,1993
충남,1842157,1994
충남,1852361,1995
충남,1873499,1996
충남,1897074,1997
충남,1913428,1998
충남,1919330,1999
충남,1921604,2000
충남,1918137,2001
충남,1907725,2002
충남,1912803,2003
충남,1953406,2004
충남,1962646,2005
충남,1974433,2006
충남,1995531,2007
충남,2018537,2008
충남,2037582,2009
충남,2075514,2010
충남,2101284,2011
충남,2028777,2012
충남,2047631,2013
충남,2062273,2014
충남,2077649,2015
충남,2096727,2016
충남,2116770,2017
충남,2126282,2018
충남,2123709,2019
충남,2121029,2020
충남,2119257,2021
충남,2123037,2022
충남,2130119,2023
전북,2027454,1992
전북,2016018,1993
전북,2002899,1994
전북,2006602,1995
전북,2004345,1996
전북,2001606,1997
전북,2009250,1998
전북,2009507,1999
전북,1999255,2000
전북,2006454,2001
전북,1953846,2002
전북,1954430,2003
전북,1906742,2004
전북,1885335,2005
전북,1868365,2006
전북,1862277,2007
전북,1855772,2008
전북,1854508,2009
전북,1868963,2010
전북,1874031,2011
전북,1873341,2012
전북,1872965,2013
전북,1871560,2014
전북,1869711,2015
전북,1864791,2016
전북,1854607,2017
전북,1836832,2018
전북,1818917,2019
전북,1804104,2020
전북,1786855,2021
전북,1769607,2022
전북,1754757,2023
전남,2283108,1992
전남,2235346,1993
전남,2197391,1994
전남,2185564,1995
전남,2175206,1996
전남,2163353,1997
전남,2171024,1998
전남,2155093,1999
전남,2130614,2000
전남,2099308,2001
전남,2054204,2002
전남,2017730,2003
전남,1986192,2004
전남,1967205,2005
전남,1942925,2006
전남,1929836,2007
전남,1919000,2008
전남,1913004,2009
전남,1918485,2010
전남,1914339,2011
전남,1909618,2012
전남,1907172,2013
전남,1905780,2014
전남,1908996,2015
전남,1903914,2016
전남,1896424,2017
전남,1882970,2018
전남,1868745,2019
전남,1851549,2020
전남,1832803,2021
전남,1817697,2022
전남,1804217,2023
경북,2872170,1992
경북,2876288,1993
경북,2873138,1994
경북,2770378,1995
경북,2790451,1996
경북,2799084,1997
경북,2809595,1998
경북,2808567,1999
경북,2797178,2000
경북,2784704,2001
경북,2756744,2002
경북,2720832,2003
경북,2695917,2004
경북,2688491,2005
경북,2688577,2006
경북,2681364,2007
경북,2673931,2008
경북,2669876,2009
경북,2689920,2010
경북,2699195,2011
경북,2698353,2012
경북,2699440,2013
경북,2700794,2014
경북,2702826,2015
경북,2700398,2016
경북,2691706,2017
경북,2676831,2018
경북,2665836,2019
경북,2639422,2020
경북,2626609,2021
경북,2600492,2022
경북,2554324,2023
경남,3846825,1992
경남,3902502,1993
경남,3962374,1994
경남,3949903,1995
경남,4009419,1996
경남,3043758,1997
경남,3069755,1998
경남,3080229,1999
경남,3094413,2000
경남,3106502,2001
경남,3124418,2002
경남,3139017,2003
경남,3143814,2004
경남,3160431,2005
경남,3172857,2006
경남,3196953,2007
경남,3225255,2008
경남,3250176,2009
경남,3290536,2010
경남,3308765,2011
경남,3319314,2012
경남,3333820,2013
경남,3350257,2014
경남,3364702,2015
경남,3373871,2016
경남,3380404,2017
경남,3373988,2018
경남,3362553,2019
경남,3340216,2020
경남,3314183,2021
경남,3280493,2022
경남,3251158,2023
제주,505784,1992
제주,510584,1993
제주,513905,1994
제주,518836,1995
제주,523022,1996
제주,527586,1997
제주,534008,1998
제주,538744,1999
제주,542368,2000
제주,546889,2001
제주,550831,2002
제주,552297,2003
제주,555362,2004
제주,557569,2005
제주,558496,2006
제주,559258,2007
제주,560618,2008
제주,562663,2009
제주,571255,2010
제주,576156,2011
제주,583713,2012
제주,593806,2013
제주,607346,2014
제주,624395,2015
제주,641597,2016
제주,657083,2017
제주,667191,2018
제주,670989,2019
제주,674635,2020
제주,676759,2021
제주,678159,2022
제주,675252,2023
