,0
1992년,1.032495007824042
1993년,1.0128723488660285
1994년,0.9881394291405166
1995년,0.9365019754566202
1996년,0.919248840292841
1997년,0.8310794936205667
1998년,0.821388149560455
1999년,0.8161420929093488
2000년,0.8142052900333442
2001년,0.8079591963655228
2002년,0.8027140497794153
2003년,0.8016072664997808
2004년,0.8012906457718473
2005년,0.8009487853633078
2006년,0.8017330254443124
2007년,0.8004091916885746
2008년,0.7990620555332872
2009년,0.7990170064736621
2010년,0.7980314150225034
2011년,0.7900126783663629
2012년,0.7824997827949668
2013년,0.7760297710861569
2014년,0.7718670830155494
2015년,0.7655236291000356
2016년,0.7591028404355497
2017년,0.7567758916990486
2018년,0.753359913580126
2019년,0.7548816344803855
2020년,0.75516705705447
2021년,0.7487985665084022
2022년,0.7461160840548748
2023년,0.7431041436179334
